SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,Lat,Long
WSV131,12201 W WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.04307,-118.468942
C424,3500 FIGUEROA ST,Single-Space,FLAT,$1.00 ,4HR,34.019975,-118.281064
YO72,5000 YORK BLVD,Single-Space,FLAT,$1.00 ,1HR,34.12108,-118.205248
HO10,1601 N MCCADDEN PL,Single-Space,TOD,$1.50 - $3.00,4HR,34.099963,-118.337025
LC270,300 N KILKEA DR,Single-Space,FLAT,$1.00 ,2HR,34.076308,-118.366838
CB530,401 E PICO BLVD,Single-Space,TOD,$1.00 - $2.00,2HR,34.034285,-118.256599
PB11,5001 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.047871,-118.346352
WW1758,600 SERRANO AVE,Single-Space,FLAT,$1.00 ,1HR,34.062239,-118.306494
WW2300,2701 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.047318,-118.298348
CC1020,900 W SUNSET BLVD,Single-Space,JUMP,$0.50/H - $2.00/6H,6HR,34.063013,-118.246914
HO264,6500 W SELMA AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.099707,-118.331959
CB1344,1200 S HOPE ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.040012,-118.265019
SV695,7001 W DE LONGPRE AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.096206,-118.343322
WW42,500 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.06481,-118.309004
VW476,650 WILSHIRE PL,Single-Space,FLAT,$1.00 ,2HR,34.060519,-118.287753
YO64A,5000 YORK BLVD,Single-Space,FLAT,$1.00 ,1HR,34.121326,-118.206525
CB2573,700 S WALL ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.041576,-118.248779
WV124,10951 W WEYBURN AVE,Single-Space,TOD,$1.00 - $1.50,2HR,34.062453,-118.447337
VS281,4901 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.098251,-118.297666
WF628,6100 W ORANGE ST,Single-Space,FLAT,$1.00 ,2HR,34.064044,-118.361983
WA589,601 PARK VIEW ST,Single-Space,FLAT,$1.00 ,2HR,34.060447,-118.279123
SV419,6200 W FOUNTAIN AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.094271,-118.325848
WW155,4500 BEVERLY BLVD,Single-Space,FLAT,$1.00 ,1HR,34.076174,-118.308252
HO194,1600 N IVAR AVE,Single-Space,TOD,$0.50 - $3.00,2HR,34.100002,-118.328071
SVV475,900 HELIOTROPE DR,Single-Space,JUMP,$1.00/H - $4.00/6H,6HR,34.088913,-118.294881
CT562,700 N NEW HIGH ST,Single-Space,FLAT,$0.50 ,4HR,34.061415,-118.237893
CC1,100 N JUDGE JOHN AISO ST,Single-Space,TOD,$5.00 - $6.00,2HR,34.050713,-118.240466
WA142,2001 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.057577,-118.274897
SVV194,4501 SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.090963,-118.288785
WF630,6100 W ORANGE ST,Single-Space,FLAT,$1.00 ,2HR,34.064004,-118.361677
WW2139,3600 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061613,-118.305715
BF463,101 S FAIRFAX AVE,Single-Space,FLAT,$1.00 ,1HR,34.072217,-118.361517
HW305,5101 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101842,-118.30279
WW2556,201 ARDMORE AVE,Single-Space,FLAT,$1.00 ,1HR,34.076053,-118.301955
CB1006A,101 E PICO BLVD,Single-Space,TOD,$0.50 - $2.00,2HR,34.035945,-118.259593
WP114,400 WASHINGTON BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,33.98203,-118.461728
CB353,1601 S MAIN ST,Single-Space,FLAT,$0.50 ,4HR,34.033407,-118.262878
SW427,5301 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.090885,-118.305157
VW1190,2701 6TH ST,Single-Space,FLAT,$1.00 ,4HR,34.063128,-118.282693
CB1972,101 E 14TH ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.035195,-118.260854
CT549,701 N SPRING ST,Single-Space,FLAT,$0.50 ,4HR,34.060501,-118.237668
LC24,8401 W WARING AVE,Single-Space,FLAT,$1.00 ,2HR,34.085361,-118.376221
CT224,701 N BROADWAY,Single-Space,TOD,$0.50 - $4.00,2HR,34.061749,-118.238717
SP646,300 6TH ST,Single-Space,FLAT,$0.75 ,2HR,33.738811,-118.284857
AE469,400 GAREY ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.051752,-118.234209
61358,61 WINDWARD AVE,Multi-Space,TOD,$1.50 - $2.00,1HR,33.987484,-118.472728
PM141B,3700 S JASMINE AVE,Single-Space,FLAT,$1.00 ,1HR,34.022006,-118.402041
VH17,4601 HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.10046,-118.290403
WA879,650 PARK VIEW ST,Single-Space,FLAT,$1.00 ,2HR,34.058782,-118.279952
WA1573,1501 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.044459,-118.276266
ED352,901 E PICO BLVD,Single-Space,FLAT,$0.50 ,2HR,34.031233,-118.250285
BF178,7500 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083588,-118.354877
SP665,400 6TH ST,Single-Space,FLAT,$0.50 ,2HR,33.738815,-118.285923
SG207A,7950 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.09791,-118.363725
WB150,1800 S HILL ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.032875,-118.265914
WU580,701 BEACON AVE,Single-Space,FLAT,$1.00 ,2HR,34.054275,-118.27251
MM661,5301 W WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.062376,-118.345743
AE153,801 2ND ST,Single-Space,FLAT,$1.00 ,2HR,34.047226,-118.234648
WW350,3900 6TH ST,Single-Space,FLAT,$1.00 ,1HR,34.063436,-118.310095
MM346,700 S OGDEN DR,Single-Space,FLAT,$1.00 ,2HR,34.062261,-118.359467
PB132,5501 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.049085,-118.357632
SL164,1101 SANBORN AVE,Single-Space,FLAT,$1.00 ,1HR,34.092823,-118.280231
SH313A,6600 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.090637,-118.333988
LT118,301 E 1ST ST,Single-Space,TOD,$1.00 - $3.00,2HR,34.049983,-118.24015
VN930,14401 W FRIAR ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.185744,-118.447866
WF168,301 S ORLANDO AVE,Single-Space,FLAT,$1.00 ,2HR,34.072761,-118.373262
RS14,2700 S ROBERTSON BLVD,Single-Space,FLAT,$1.00 ,1HR,34.036629,-118.388741
HW601,5401 W FERNWOOD AVE,Single-Space,FLAT,$1.00 ,2HR,34.095635,-118.308324
LT55A,300 E 2ND ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.047893,-118.23971
SS216,1400 S GRANVILLE AVE,Single-Space,FLAT,$1.00 ,2HR,34.043072,-118.458251
BF645,601 N KINGS ROAD,Single-Space,FLAT,$1.00 ,2HR,34.083294,-118.372261
AE523,400 DUCOMMUN ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.052582,-118.236495
CB3651,601 S SPRING ST,Single-Space,TOD,$5.00 - $6.00,2HR,34.045625,-118.251396
ED311,1100 E 12TH ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.030485,-118.246126
WW198,201 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.075648,-118.309247
SV582,1500 N ARGYLE AVE,Single-Space,TOD,$1.00 - $2.00,2HR,34.09947,-118.325095
CT389,800 N SPRING ST,Single-Space,TOD,$1.50 - $3.00,2HR,34.062515,-118.236531
WB585,501 W 21ST ST,Single-Space,JUMP,$0.50/H - $2.00/6H,6HR,34.0319,-118.272462
SL559,2800 ROWENA AVE,Single-Space,FLAT,$1.00 ,2HR,34.107608,-118.265615
ED519,1100 S TOWNE AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.032601,-118.250658
SL404,3200 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.085658,-118.275087
56846,10410 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.056979,-118.424302
WA918,700 CARONDELET ST,Single-Space,FLAT,$1.00 ,2HR,34.058174,-118.281091
SL53A,2501 HYPERION AVE,Single-Space,FLAT,$1.00 ,2HR,34.10488,-118.273164
SVV93,4501 WILLOW BROOK AVE,Single-Space,FLAT,$1.00 ,2HR,34.089794,-118.291333
WW2348,2901 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.047297,-118.303608
WU238,601 LUCAS AVE,Single-Space,FLAT,$1.00 ,2HR,34.054099,-118.264225
WS94B,1200 S GLENDON AVE,Single-Space,FLAT,$1.00 ,2HR,34.05752,-118.4418
AE616,701 JACKSON ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.050946,-118.231783
LC317,8301 W BEVERLY BLVD,Single-Space,FLAT,$1.00 ,2HR,34.076167,-118.370533
ER146,1900 COLORADO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.139098,-118.209978
PB338,5200 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.048179,-118.35326
AE80,601 TRACTION AVE,Single-Space,FLAT,$1.00 ,4HR,34.046121,-118.236828
PR710,1200 S FAIRFAX AVE,Single-Space,FLAT,$1.00 ,2HR,34.052115,-118.366467
WW2097,3900 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061597,-118.313073
SV123,1500 N SCHRADER BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.099106,-118.332399
SS398,1500 S SAWTELLE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.047355,-118.449078
VW137,2801 JAMES M WOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.055961,-118.289859
WW1053,600 OXFORD AVE,Single-Space,FLAT,$1.00 ,1HR,34.062323,-118.307764
66132,6417 W HOLLYWOOD BLVD,Multi-Space,TOD,$1.50 - $3.00,2HR,34.101686,-118.330157
SVV406,700 HELIOTROPE DR,Single-Space,FLAT,$1.00 ,4HR,34.085211,-118.294867
PM157,10000 W SOUTH VENICE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.022618,-118.399739
WP188,500 WASHINGTON BLVD,Single-Space,FLAT,$1.00 ,2HR,33.983461,-118.459461
WS102,1200 S GLENDON AVE,Single-Space,FLAT,$1.00 ,2HR,34.058288,-118.442105
CT376,701 N HILL ST,Single-Space,FLAT,$0.50 ,4HR,34.061587,-118.240251
MV215,3800 S GRAND VIEW BLVD,Single-Space,FLAT,$1.00 ,2HR,34.004177,-118.4305
WU439,651 WITMER ST,Single-Space,FLAT,$1.00 ,2HR,34.053302,-118.267058
P330,17301 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.039235,-118.555166
GA125,3200 GLENDALE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.117808,-118.260774
VN215,14501 W GILMORE ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.187711,-118.45058
PM116,10001 W NORTH VENICE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.022794,-118.400089
WU1329,1700 JAMES M WOOD BLVD,Single-Space,FLAT,$1.00 ,2HR,34.051485,-118.274772
LM497,7301 W BEVERLY BLVD,Single-Space,FLAT,$1.00 ,1HR,34.076253,-118.349565
WW1788,500 ARDMORE AVE,Single-Space,FLAT,$1.00 ,2HR,34.064088,-118.301528
WU509,1201 7TH ST,Single-Space,FLAT,$1.00 ,1HR,34.051855,-118.266427
WF500,600 S SAN VICENTE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.06445,-118.371817
VW1431,501 HOOVER ST,Single-Space,FLAT,$1.00 ,2HR,34.064176,-118.284399
LM744,300 N LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.077558,-118.34392
CB3753,501 S LOS ANGELES ST,Single-Space,TOD,$3.00 - $4.00,2HR,34.044938,-118.248767
SS422,1701 S SAWTELLE BLVD,Single-Space,FLAT,$1.00 ,4HR,34.044982,-118.447215
CB453,1301 S SANTEE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.034789,-118.258639
CC823,300 N FREMONT AVE,Single-Space,FLAT,$0.50 ,2HR,34.060013,-118.250528
CB3368,401 E 9TH ST,Single-Space,TOD,$3.00 - $6.00,2HR,34.038959,-118.252021
LT391,301 S CROCKER ST,Single-Space,FLAT,$0.50 ,4HR,34.0462,-118.240425
ED468A,800 S CENTRAL AVE,Single-Space,FLAT,$0.50 ,4HR,34.0327,-118.243636
WP100,400 WASHINGTON BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,33.981314,-118.462856
CT381A,701 N HILL ST,Single-Space,FLAT,$0.50 ,4HR,34.061122,-118.240443
SL67,2000 HYPERION AVE,Single-Space,FLAT,$1.00 ,2HR,34.097966,-118.274725
CB4314,201 W 12TH ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.039176,-118.261694
GA260,3400 GLENDALE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.120445,-118.257953
CB1207,700 S OLIVE ST,Single-Space,FLAT,$3.00 ,4HR,34.045558,-118.256375
VN356,14500 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.184586,-118.449763
HW595,5400 W FERNWOOD AVE,Single-Space,FLAT,$1.00 ,2HR,34.095511,-118.308901
WW2141,3600 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061617,-118.305008
SH314,6600 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.090636,-118.333913
SVV227,4601 VERMONT PL,Single-Space,FLAT,$1.00 ,2HR,34.092504,-118.291139
PM4,10400 W NATIONAL BLVD,Single-Space,FLAT,$1.00 ,1HR,34.028799,-118.41133
RS30,2600 S ROBERTSON BLVD,Single-Space,FLAT,$1.00 ,1HR,34.037779,-118.388427
CB247B,1601 S HILL ST,Single-Space,FLAT,$0.50 ,4HR,34.034497,-118.264839
SA235,1201 LAVETA TER,Single-Space,FLAT,$1.00 ,1HR,34.075734,-118.256154
MV143,3800 S CENTINELA AVE,Single-Space,FLAT,$1.00 ,1HR,34.00303,-118.432927
SVV458,900 HELIOTROPE DR,Single-Space,JUMP,$1.00/H - $4.00/6H,6HR,34.088326,-118.29488
HO401,6101 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.50 ,2HR,34.101748,-118.323209
VN1124,14401 W KITTRIDGE ST,Single-Space,FLAT,$1.00 ,2HR,34.190735,-118.448368
BH196,200 BREED ST,Single-Space,FLAT,$1.00 ,2HR,34.046846,-118.209183
HO20,1600 N MCCADDEN PL,Single-Space,TOD,$1.50 - $4.00,4HR,34.101321,-118.33693
LH294,2400 PASADENA AVE,Single-Space,FLAT,$1.00 ,1HR,34.076022,-118.21679
WU149,501 S UNION DR,Single-Space,FLAT,$1.00 ,2HR,34.057267,-118.26872
WB662,100 W 22ND ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.028833,-118.267756
CB3067A,301 E 4TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.045987,-118.243212
CB2151,1201 E 12TH ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.034722,-118.255657
SS234,11801 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,2HR,34.042294,-118.459661
ED388,700 E PICO BLVD,Single-Space,FLAT,$0.50 ,2HR,34.032603,-118.253814
VN822,6200 N VAN NUYS BLVD,Single-Space,TOD,$0.50 - $1.00,30MIN,34.183403,-118.448568
VW326,601 NEW HAMPSHIRE AVE,Single-Space,FLAT,$1.00 ,2HR,34.063232,-118.292994
PR104A,8801 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.055212,-118.385475
BF174B,601 N CURSON AVE,Single-Space,FLAT,$1.00 ,2HR,34.083297,-118.355365
SH268,1001 N LAS PALMAS AVE,Single-Space,FLAT,$1.00 ,4HR,34.089927,-118.336352
MD95,2000 MARENGO ST,Single-Space,FLAT,$1.00 ,2HR,34.056608,-118.207632
MM444,5900 W 6TH ST,Single-Space,FLAT,$1.00 ,4HR,34.064789,-118.35547
VW1388,3100 7TH ST,Single-Space,FLAT,$1.00 ,1HR,34.059689,-118.292672
CB2440,501 S MAPLE AVE,Single-Space,TOD,$1.00 - $3.00,2HR,34.044324,-118.247724
WV307,1100 S WESTWOOD BLVD,Single-Space,TOD,$1.00 - $1.50,2HR,34.0602,-118.444968
HO725A,1701 N SYCAMORE AVE,Single-Space,TOD,$2.00 - $4.00,2HR,34.102009,-118.343402
SP116,500 8TH ST,Single-Space,FLAT,$0.50 ,2HR,33.737009,-118.288162
LM833,6800 W MELROSE AVE,Single-Space,FLAT,$1.00 ,1HR,34.083365,-118.3413
WU265,600 BIXEL ST,Single-Space,FLAT,$1.00 ,2HR,34.052632,-118.263022
WW1765,600 SERRANO AVE,Single-Space,FLAT,$1.00 ,1HR,34.063209,-118.306529
VS508,4800 FOUNTAIN AVE,Single-Space,FLAT,$1.00 ,1HR,34.09542,-118.293661
WB141,2000 S HILL ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.03137,-118.267036
WS303A,2101 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.044205,-118.432144
VN1029,14401 W HAMLIN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.188747,-118.446825
VW1797,2251 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.047362,-118.285797
WB739,400 W 18TH ST,Single-Space,FLAT,$0.50 ,4HR,34.034909,-118.269102
WS220,10901 W MASSACHUSETTS AVE,Single-Space,FLAT,$1.00 ,2HR,34.051749,-118.439222
WS37,10800 W HOLMAN AVE,Single-Space,FLAT,$1.00 ,2HR,34.052899,-118.439102
VN421,6400 N VESPER AVE,Single-Space,FLAT,$1.00 ,2HR,34.188374,-118.450836
L40,201 N LARCHMONT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.07464,-118.32376
WA446,1800 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.05351,-118.275002
LH80,2900 BROADWAY,Single-Space,FLAT,$1.00 ,1HR,34.073616,-118.210564
VN713A,14300 W SYLVAN ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.184588,-118.444813
SS76A,11500 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.045299,-118.452208
ED638,1001 S TOWNE AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.032994,-118.250552
SW507,5401 W ROMAINE ST,Single-Space,FLAT,$1.00 ,2HR,34.088544,-118.309621
PM70,3701 S CARDIFF AVE,Single-Space,FLAT,$1.00 ,1HR,34.025267,-118.396317
HW64,5200 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.098017,-118.304996
LP187A,4301 S LEIMERT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.005054,-118.330248
SG210,7950 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.097915,-118.363327
LM250,7101 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083552,-118.345689
WW465,651 HOBART BLVD,Single-Space,FLAT,$1.00 ,2HR,34.06032,-118.305417
WW77,4301 3RD ST,Single-Space,FLAT,$1.00 ,1HR,34.06907,-118.308136
CT563,700 N NEW HIGH ST,Single-Space,FLAT,$0.50 ,4HR,34.06147,-118.237864
VS459A,4751 FOUNTAIN AVE,Single-Space,FLAT,$1.00 ,4HR,34.09556,-118.293153
WS795B,1500 S PONTIUS AVE,Single-Space,FLAT,$1.00 ,2HR,34.049224,-118.446401
WB627,101 W 23RD ST,Single-Space,FLAT,$0.50 ,4HR,34.02827,-118.268355
BF35,401 N FAIRFAX AVE,Single-Space,FLAT,$1.00 ,2HR,34.079078,-118.361556
CB697,800 S MAPLE AVE,Single-Space,TOD,$3.00 - $5.00,2HR,34.040278,-118.251708
HW109,1500 N HOBART BLVD,Single-Space,FLAT,$1.00 ,1HR,34.09851,-118.305536
61219,228 MAIN ST,Multi-Space,TOD,$0.50 - $1.50,2HR,33.997077,-118.478527
VN301,14500 W FRIAR ST,Single-Space,FLAT,$1.00 ,2HR,34.185621,-118.450533
WW1969,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.061868,-118.296912
LC423,8400 W MELROSE PL,Single-Space,FLAT,$1.00 ,2HR,34.083531,-118.375604
C228,1000 BROWNING BLVD,Single-Space,FLAT,$1.00 ,2HR,34.012031,-118.292871
SV728,1400 N ORANGE DR,Single-Space,TOD,$0.50 - $1.00,2HR,34.097601,-118.341497
MD554,1300 SAN PABLO ST,Single-Space,FLAT,$1.00 ,4HR,34.059839,-118.204229
WV332,1100 S GLENDON AVE,Single-Space,TOD,$1.00 - $1.50,15MIN,34.060649,-118.444171
ED316,1100 E 12TH ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.030291,-118.245649
56431,10910 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.049065,-118.438697
CB590,200 E 11TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.037964,-118.256493
VW640,3300 WILSHIRE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.06167,-118.29611
CB1244A,1201 S OLIVE ST,Single-Space,FLAT,$0.50 ,4HR,34.038722,-118.263007
LT4,200 E BOYD ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.047409,-118.244725
HO76,1600 N CHEROKEE AVE,Single-Space,TOD,$1.00 - $3.00,2HR,34.100444,-118.334965
LM277,701 N FULLER AVE,Single-Space,FLAT,$1.00 ,2HR,34.083889,-118.349881
LC176,101 N KINGS ROAD,Single-Space,FLAT,$1.00 ,2HR,34.075777,-118.372197
SL95,2300 HYPERION AVE,Single-Space,FLAT,$1.00 ,4HR,34.101732,-118.273008
SV125,1500 N SCHRADER BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.099242,-118.3324
WW110,100 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.071378,-118.309029
VN1086,6550 N VAN NUYS BLVD,Single-Space,TOD,$0.50 - $1.00,30MIN,34.189948,-118.448574
PC191,3501 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.047266,-118.31968
CB2538,701 S WALL ST,Single-Space,TOD,$0.50 - $6.00,4HR,34.04142,-118.249129
CT325,500 W COLLEGE ST,Single-Space,FLAT,$0.50 ,4HR,34.064732,-118.239751
WU1144,700 GARLAND AVE,Single-Space,FLAT,$1.00 ,2HR,34.050925,-118.266744
SH250,1000 N HIGHLAND AVE,Single-Space,FLAT,$1.00 ,1HR,34.090038,-118.338478
CB205B,1500 S GRAND AVE,Single-Space,TOD,$0.50 - $2.00,4HR,34.036281,-118.265868
LM832,600 N ORANGE DR,Single-Space,FLAT,$1.00 ,2HR,34.083262,-118.341542
WB428A,1801 S HOPE ST,Single-Space,FLAT,$0.50 ,4HR,34.033573,-118.269666
VH57,1700 VERMONT AVE,Single-Space,FLAT,$1.00 ,1HR,34.102924,-118.291676
BF226,7601 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083775,-118.35592
PR611A,9801 W PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.05373,-118.403207
SL506,2400 SILVER LAKE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.100797,-118.258866
WS158,1301 S WESTWOOD BLVD,Single-Space,FLAT,$1.00 ,2HR,34.056611,-118.44271
CB1388,901 W JAMES M WOOD BLVD,Single-Space,TOD,$3.00 - $4.00,4HR,34.046667,-118.263675
SA104,1900 SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.077937,-118.260907
GA230,3001 LOS FELIZ BLVD,Single-Space,FLAT,$1.00 ,2HR,34.125417,-118.265093
CC950,901 W SUNSET BLVD,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.064164,-118.247907
CT136,301 W COLLEGE ST,Single-Space,FLAT,$0.50 ,2HR,34.063966,-118.236985
WU781,901 GRATTAN ST,Single-Space,FLAT,$1.00 ,2HR,34.050227,-118.272415
WW2465,4001 BEVERLY BLVD,Single-Space,FLAT,$1.00 ,1HR,34.076387,-118.297777
VN1052,6500 N VAN NUYS BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.189205,-118.448571
WU735,800 S UNION DR,Single-Space,FLAT,$1.00 ,2HR,34.051427,-118.272641
CB2762,100 E OLYMPIC BLVD,Single-Space,TOD,$3.00 - $5.00,2HR,34.039769,-118.25621
VM4,1001 83RD ST,Single-Space,FLAT,$1.00 ,2HR,33.963729,-118.2923
VN1192,5900 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,2HR,34.178207,-118.448508
WU1100,600 LUCAS AVE,Single-Space,FLAT,$1.00 ,2HR,34.051758,-118.26557
WF292,7901 W BLACKBURN AVE,Single-Space,FLAT,$1.00 ,2HR,34.07084,-118.361731
WU462,600 LUCAS AVE,Single-Space,FLAT,$1.00 ,2HR,34.052585,-118.265038
WN280A,100 G ST,Single-Space,FLAT,$0.50 ,2HR,33.778407,-118.263334
P304,100 E ENTRADA DR,Single-Space,FLAT,$1.00 ,2HR,34.028514,-118.517612
WU483A,600 BIXEL ST,Single-Space,FLAT,$1.00 ,2HR,34.05197,-118.26341
WW1143,3451 6TH ST,Single-Space,FLAT,$1.00 ,2HR,34.063671,-118.297252
VM144,901 85TH ST,Single-Space,FLAT,$1.00 ,2HR,33.961288,-118.291085
WW1392B,4800 ROSEWOOD AVE,Single-Space,FLAT,$1.00 ,1HR,34.079239,-118.309672
56166,10547 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.054884,-118.428211
WB55,1801 S MAIN ST,Single-Space,FLAT,$0.50 ,4HR,34.031603,-118.264338
PB137,5501 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.049224,-118.35804
SA216,1300 LOGAN ST,Single-Space,FLAT,$1.00 ,2HR,34.077812,-118.257957
BH397,1901 1ST ST,Single-Space,FLAT,$1.00 ,1HR,34.045769,-118.215492
VN435,6401 N VESPER AVE,Single-Space,FLAT,$1.00 ,2HR,34.187418,-118.450967
SS436,1801 S SAWTELLE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.043493,-118.445928
HW324,5201 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101835,-118.305305
SV944,6201 W AFTON PL,Single-Space,TOD,$0.50 - $1.00,2HR,34.095325,-118.326193
WW1667,3401 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.057767,-118.304866
CB4303,700 S MAPLE AVE,Single-Space,TOD,$0.50 - $4.00,4HR,34.042004,-118.24968
WP189,500 WASHINGTON BLVD,Single-Space,FLAT,$1.00 ,2HR,33.983495,-118.459405
LM798,600 N LA BREA AVE,Single-Space,FLAT,$1.00 ,1HR,34.082093,-118.343929
C43,1300 30TH ST,Single-Space,FLAT,$1.00 ,1HR,34.027707,-118.292118
VW1430B,501 HOOVER ST,Single-Space,FLAT,$1.00 ,2HR,34.064261,-118.2844
BF697,8100 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083639,-118.36669
AE155,801 2ND ST,Single-Space,FLAT,$1.00 ,2HR,34.047225,-118.235028
CB301,1400 S BROADWAY,Single-Space,FLAT,$0.50 ,4HR,34.035008,-118.262771
SH273,1001 N LAS PALMAS AVE,Single-Space,FLAT,$1.00 ,4HR,34.089502,-118.336348
CB1184,201 W PICO BLVD,Single-Space,FLAT,$0.50 ,4HR,34.038207,-118.262963
